date,nav,change_pct
2023-08-16,0.8472,-1.28
2023-08-17,0.8538,0.78
2023-08-18,0.8443,-1.11
2023-08-21,0.8353,-1.07
2023-08-22,0.8471,1.41
2023-08-23,0.8326,-1.71
2023-08-24,0.829,-0.43
2023-08-25,0.8211,-0.95
2023-08-28,0.8252,0.5
2023-08-29,0.8451,2.41
2023-08-30,0.8508,0.67
2023-08-31,0.8455,-0.62
2023-09-01,0.8469,0.17
2023-09-04,0.8578,1.29
2023-09-05,0.8519,-0.69
2023-09-06,0.8543,0.28
2023-09-07,0.8418,-1.46
2023-09-08,0.8475,0.68
2023-09-11,0.8484,0.11
2023-09-12,0.844,-0.52
2023-09-13,0.8366,-0.88
2023-09-14,0.8321,-0.54
2023-09-15,0.8286,-0.42
2023-09-18,0.8274,-0.14
2023-09-19,0.8222,-0.63
2023-09-20,0.8149,-0.89
2023-09-21,0.812,-0.36
2023-09-22,0.8241,1.49
2023-09-25,0.818,-0.74
2023-09-26,0.8168,-0.15
2023-09-27,0.8191,0.28
2023-09-28,0.8212,0.26
2023-10-09,0.8183,-0.35
2023-10-10,0.8126,-0.7
2023-10-11,0.8151,0.31
2023-10-12,0.8178,0.33
2023-10-13,0.8125,-0.65
2023-10-16,0.8053,-0.89
2023-10-17,0.8095,0.52
2023-10-18,0.8008,-1.07
2023-10-19,0.795,-0.72
2023-10-20,0.7882,-0.86
2023-10-23,0.7739,-1.81
2023-10-24,0.7834,1.23
2023-10-25,0.7889,0.7
2023-10-26,0.7888,-0.01
2023-10-27,0.8026,1.75
2023-10-30,0.8163,1.71
2023-10-31,0.8142,-0.26
2023-11-01,0.8094,-0.59
2023-11-02,0.7994,-1.24
2023-11-03,0.8083,1.11
2023-11-06,0.8299,2.67
2023-11-07,0.8312,0.16
2023-11-08,0.8324,0.14
2023-11-09,0.8309,-0.18
2023-11-10,0.8294,-0.18
2023-11-13,0.8318,0.29
2023-11-14,0.8379,0.73
2023-11-15,0.8382,0.04
2023-11-16,0.8274,-1.29
2023-11-17,0.8314,0.48
2023-11-20,0.8354,0.48
2023-11-21,0.8267,-1.04
2023-11-22,0.8159,-1.31
2023-11-23,0.8232,0.89
2023-11-24,0.8152,-0.97
2023-11-27,0.8202,0.61
2023-11-28,0.8228,0.32
2023-11-29,0.8199,-0.35
2023-11-30,0.8163,-0.44
2023-12-01,0.8177,0.17
2023-12-04,0.8139,-0.46
2023-12-05,0.8025,-1.4
2023-12-06,0.8062,0.46
2023-12-07,0.8049,-0.16
2023-12-08,0.8055,0.07
2023-12-11,0.8137,1.02
2023-12-12,0.8107,-0.37
2023-12-13,0.8053,-0.67
2023-12-14,0.8014,-0.48
2023-12-15,0.7973,-0.51
2023-12-18,0.7901,-0.9
2023-12-19,0.7903,0.03
2023-12-20,0.7782,-1.53
2023-12-21,0.7805,0.3
2023-12-22,0.7757,-0.61
2023-12-25,0.7779,0.28
2023-12-26,0.7681,-1.26
2023-12-27,0.7733,0.68
2023-12-28,0.788,1.9
2023-12-29,0.7986,1.35
2023-12-31,0.7985,-0.01
2024-01-02,0.7921,-0.8
2024-01-03,0.7801,-1.51
2024-01-04,0.7733,-0.87
2024-01-05,0.7594,-1.8
2024-01-08,0.7465,-1.7
2024-01-09,0.7474,0.12
2024-01-10,0.7423,-0.68
2024-01-11,0.7542,1.6
2024-01-12,0.7489,-0.7
2024-01-15,0.7477,-0.16
2024-01-16,0.7474,-0.04
2024-01-17,0.728,-2.6
2024-01-18,0.7322,0.58
2024-01-19,0.7218,-1.42
2024-01-22,0.6914,-4.21
2024-01-23,0.7,1.24
2024-01-24,0.7021,0.3
2024-01-25,0.7175,2.19
2024-01-26,0.7037,-1.92
2024-01-29,0.6835,-2.87
2024-01-30,0.6687,-2.17
2024-01-31,0.6524,-2.44
2024-02-01,0.6534,0.15
2024-02-02,0.6342,-2.94
2024-02-05,0.613,-3.34
2024-02-06,0.6468,5.51
2024-02-07,0.6627,2.46
2024-02-08,0.6811,2.78
2024-02-19,0.6876,0.95
2024-02-20,0.6881,0.07
2024-02-21,0.6889,0.12
2024-02-22,0.6978,1.29
2024-02-23,0.7034,0.8
2024-02-26,0.7061,0.38
2024-02-27,0.7209,2.1
2024-02-28,0.695,-3.59
2024-02-29,0.72,3.6
2024-03-01,0.7293,1.29
2024-03-04,0.7375,1.12
2024-03-05,0.7329,-0.62
2024-03-06,0.7382,0.72
2024-03-07,0.7277,-1.42
2024-03-08,0.7417,1.92
2024-03-11,0.7496,1.07
2024-03-12,0.7454,-0.56
2024-03-13,0.747,0.21
2024-03-14,0.7391,-1.06
2024-03-15,0.7483,1.24
2024-03-18,0.7625,1.9
2024-03-19,0.7577,-0.63
2024-03-20,0.7599,0.29
2024-03-21,0.7589,-0.13
